,Id,Name,Age,Country,Gender,Income,Tax,New_income
0,4,Maria Garcia,34,Spain,F,0.0,10%,0.0
1,9,Carlos Ruiz,0,Mexico,M,45000.0,10%,49500.00000000001
2,3,Alex,0,USA,U,47000.0,10%,51700.00000000001
3,5,Li Wei,27,China,M,51000.0,20%,56100.00000000001
4,1,John Doe,29,USA,M,55000.0,20%,60500.00000000001
5,1,John Doe,29,USA,M,55000.0,20%,60500.00000000001
6,10,Emily Davis,31,USA,50,58000.0,20%,63800.00000000001
7,2,Jane Smith,0,Canada,F,62000.0,20%,68200.0
8,8,Rachel Lee,29,USA,F,62000.0,20%,68200.0
9,7,Ahmed Khan,38,0,M,68000.0,20%,74800.0
10,6,0,45,India,F,73000.0,20%,80300.0
